STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo vệ thực vật 7620112,,,,
2.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,15.0,,,
3.0,Công nghệ thực phẩm 7540101,15.0,,,
4.0,Công nghệ thông tin 7480201,15.0,,,
5.0,Công nghệ kỹ thuật xây dựng dân dụng và công nghiệp 7510102,15.0,,,
6.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.0,,,
7.0,Công tác xã hội 7760101,,,,
8.0,Công nghệ sinh học 7420201,15.0,,,
9.0,Đông phương học 7220213,15.0,,,
10.0,Giới và phát triển 7340103,15.0,,,
11.0,Kế toán 7340301,15.0,,,
12.0,Kinh doanh thương mại 7340121,15.0,,,
13.0,Kỹ thuật xây dựng công trình giao thông 7580205,15.0,,,
14.0,Luật kinh tế 7380107,15.0,,,
15.0,Ngôn ngữ Anh 7220201,15.0,,,
16.0,Quản trị doanh nghiệp 7340101,15.0,,,
17.0,Răng- Hàm -Mặt 7720501,,,,
18.0,Tài chính – Ngân hàng 7340201,15.0,,,
19.0,Tiếng Việt & Văn hóa Việt Nam 7220101,15.0,,,
