STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,15.0,,,
2.0,Công nghệ kỹ thuật Môi trường 7510406,,,,
3.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.0,,,
4.0,Công nghệ kỹ thuật cơ điện tử 7510203,15.0,,,
5.0,Công nghệ kỹ thuật ô tô 7510205,15.0,,,
6.0,Dinh dưỡng 7720401,,,,
7.0,Giới và phát triển 7340103,15.0,,,
8.0,Kế toán 7340301,15.0,,,
9.0,Kiến trúc cảnh quan 7580102,15.0,,,
10.0,Kỹ thuật xây dựng 7580201,15.0,,,
11.0,Luật kinh tế 7380107,15.0,,,
12.0,Ngành Kinh doanh quốc tế 7340120,15.0,,,
13.0,Ngôn ngữ Anh 7220201,15.0,,,
14.0,Ngôn ngữ Trung Quốc 7220204,15.0,,,
15.0,Quản lý nhà nước 7310205,15.0,,,
16.0,Quản lý tài nguyên và môi trường 7850101,,,,
17.0,Quản trị doanh nghiệp 7340101,15.0,,,
18.0,Tài chính – Ngân hàng 7340201,15.0,,,
19.0,Thiết kế đồ họa 7210403,15.0,,,
20.0,Thiết kế nội thất 7210405,15.0,,,
21.0,Thiết kế công nghiệp 7210402,15.0,,,
22.0,Y khoa 7720101,,,,
