STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,14.0,,,
2.0,Công nghệ sau thu hoạch 7540104,14.0,,,
3.0,Công tác xã hội 7760101,15.0,,,
4.0,Công nghệ sinh học 7420201,14.0,,,
5.0,Điện tử - viễn thông 7510302,14.0,,,
6.0,Đông phương học 7310608,16.0,,,
7.0,Du lịch 7310630,14.0,,,
8.0,Hóa học 7440112,14.0,,,
9.0,Kế toán 7340301,15.0,,,
10.0,Khoa học môi trường 7440301,14.0,,,
11.0,Kỹ thuật hạt nhân 7520402,15.0,,,
12.0,Lịch sử 7229010,14.0,,,
13.0,Ngành Luật 7380101,17.0,,,
14.0,Ngôn ngữ Anh 7220201,16.0,,,
15.0,Nông học 7620109,14.0,,,
16.0,Quản trị doanh nghiệp 7340101,16.0,,,
17.0,Quản trị dịch vụ du lịch và lữ hành 7810103,17.0,,,
18.0,Quốc tế học 7310601,14.0,,,
19.0,Sinh hoc 7420101,14.0,,,
20.0,Sư phạm Ngữ văn 7140217,17.0,,,
21.0,Sư phạm Hóa học 7140212,17.0,,,
22.0,Sư phạm Toán học 7140209,17.0,,,
23.0,Sư phạm Sinh học 7140213,17.0,,,
24.0,Sư phạm Vật lý 7140211,17.0,,,
25.0,Sư phạm Tiếng Anh 7140231,17.0,,,
26.0,Sư phạm Lịch sử 7140218,17.0,,,
27.0,Toán học 7460101,14.0,,,
28.0,Văn học 7229030,14.0,,,
29.0,Văn hoá học 7229040,14.0,,,
30.0,Vật lý học 7440102,14.0,,,
31.0,Xã hội học 7310301,14.0,,,
