STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,ĐH Nuôi trồng thủy sản 7620301,15.0,,,
2.0,Giáo dục Tiểu học 51140202,16.0,,,
3.0,Khoa học máy tính 7480101,14.0,,,
4.0,Ngôn ngữ Hàn Quốc 7220210,15.0,,,
5.0,Ngôn ngữ Trung Quốc 7220204,17.0,,,
6.0,Ngôn ngữ Nhật 7220209,19.0,,,Môn Tiếng Anh hệ số 2
7.0,Ngôn ngữ Anh 7220201,19.0,,,Môn Tiếng Anh hệ số 2
8.0,Quản lý tài nguyên và môi trường 7850101,15.0,,,
9.0,Quản trị khách sạn 7810201,16.0,,,
10.0,Quản trị dịch vụ du lịch và lữ hành 7810103,16.0,,,
11.0,Quản lý văn hoá 7229042,15.0,,,
12.0,Quản trị nhà hàng và dịch vụ ăn uống 7810202,14.0,,,
