STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo vệ thực vật 7620112,13.0,,,
2.0,Công nghệ thông tin 7480201,13.0,,,
3.0,Du lịch 7310630,13.0,,,
4.0,Giáo dục Tiểu học 7140202,18.5,,,
5.0,Giáo dục Mầm non 7140201,18.5,,,
6.0,Lịch sử 7229010,13.0,,,
7.0,Ngôn ngữ Anh 7220201,13.0,,,
8.0,Sư phạm Toán học 7140209,18.5,,,
9.0,Sư phạm Sinh học 7140213,18.5,,,
10.0,Sư phạm Vật lý 7140211,18.5,,,
11.0,Sư phạm Ngữ văn 7140217,18.5,,,
12.0,Văn học 7229030,13.0,,,
13.0,Vật lý học 7440102,13.0,,,
