STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Kế toán (Phân hiệu tại Thừa Thiên Huế) 7340301H,,,,
2.0,Kế toán 7340301,15.0,,,
3.0,Kiểm toán 7340302,15.0,,,
4.0,Kinh doanh quốc tế (Phân hiệu tại Thừa Thiên Huế) 7340120H,,,,
5.0,Luật kinh tế 7380107,15.0,,,
6.0,Luật kinh tế (Phân hiệu tại Thừa Thiên Huế) 7380107H,,,,
7.0,Ngành Kinh doanh quốc tế 7340120,15.0,,,
8.0,Quản trị doanh nghiệp 7340101,15.0,,,
9.0,Tài chính – Ngân hàng 7340201,15.0,,,
10.0,Tài chính-Ngân hàng (Phân hiệu tại Thừa Thiên Huế) 7340201H,,,,
