STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo hiểm 7340204DKD,17.5,"A00, A01, C01, D01",,
2.0,"Công nghê dệt, may (Chuyên ngành Công nghệ may; Thiết kế thời trang) 7540204DKD",17.5,A00,,
3.0,"Công nghệ kỹ thuật điện, điện tử (Chuyên ngành Điện dân dụng và công nghiệp; Hệ thống cung cấp điện; Thiết bị điện, điện tử 7510301DKD",17.5,A00,,
4.0,Công nghệ kỹ thuật cơ điện tử (Chuyên ngành Kỹ thuật Robot; Hệ thống cơ điện tử; Hệ thống cơ điện tử trên ô tô) 7510203DKD,19.0,A00,,
5.0,Công nghệ kỹ thuật máy tính 7480108DKD,17.5,A00,,
6.0,Công nghệ kỹ thuật điều khiển và tự động hóa (Chuyên ngành Tự động hóa công nghiệp; Kỹ thuật điều khiển và hệ thống thông minh; Thiết bị đo thông minh) 7510303DKD,18.5,A00,,
7.0,Công nghệ kỹ thuật điện tử - Viễn thông (Chuyên ngành Kỹ thuật viễn thông; Kỹ thuật điện tử) 7510302DKD,18.5,A00,,
8.0,"Công nghệ thực phẩm (Chuyên ngành Công nghệ đồ uống và đường, bánh kẹo; Công nghệ chế biến và bảo quản nông sản) 7540101DKD",17.5,A00,,
9.0,Công nghê kỹ thuật cơ khí (Chuyên ngành Công nghệ chế tạo máy; Máy và cơ sở thiết kế máy) 7510201DKD,17.5,A00,,
10.0,Công nghệ Kỹ thuật ô tô 7510205DKD,18.5,A00,,
11.0,"Công nghệ sợi , dệt 7540202DKD",17.5,A00,,
12.0,Công nghệ thông tin (Chuyên ngành Công nghệ thông tin; Hệ thống thông tin; Truyền dữ liệu và mạng máy tính) 7480201DKD,19.0,A00,,
13.0,Kế toán (Chuyên ngành Kế toán doanh nghiệp; Kế toán nhà hàng khách sạn; Kế toán công; Kế toán kiểm toán) 7340301DKD,17.5,"A00, A01, C01, D01",,
14.0,Khoa học dữ liệu 7460108DKD,17.5,A00,,
15.0,Kiểm toán 7340302DKD,17.5,A00,,
16.0,Kinh doanh Thương mại (Chuyên ngành Kinh doanh thương mại; Thương mại điện tử) 7340121DKD,18.5,"A00, A01, C01, D01",,
17.0,Logistics và quản lý chuỗi cung ứng 7510605DKD,18.5,A00,,
18.0,Mạng máy tính và truyền thông dữ liệu (Chuyên ngành Mạng máy tính và truyền thông dữ liệu; Chuyên ngành an toàn thông tin) 7480102DKD,17.5,A00,,
19.0,Marketing 7340115DKD,18.5,"A00, A01, C01, D01",,
20.0,Ngành Quản trị dịch vụ du lịch và lữ hành 7810103DKD,19.0,A00,,
21.0,Ngôn ngữ Anh (Chuyên ngành Biên phiên dịch; Chuyên ngành giảng dạy) 7220201DKD,19.0,"A01, D01, D09, D14",,
22.0,Quản trị kinh doanh (Chuyên ngành Quản trị kinh doanh; Quản trị Marketing; Logistics và quản lý chuỗi cung ứng ) 7340101DKD,18.5,"A00, A01, C01, D01",,
23.0,Quản trị khách sạn 7810201DKD,19.0,A00,,
24.0,Tài chính ngân hàng (Chuyên ngành Tài chính doanh nghiệp; Ngân hàng; Tài chính bảo hiểm; Đầu tư tài chính) 7340201DKD,17.5,"A00, A01, C01, D01",,
