STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,15.1,,,
2.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.1,,,
3.0,Công nghệ kỹ thuật điều khiển và tự động hóa 7510303,15.6,,,
4.0,Công nghệ thông tin 7480201,15.0,,,
5.0,Công nghệ kỹ thuật ô tô 7510205,15.05,,,
6.0,Công nghệ thực phẩm 7540101,15.05,,,
7.0,Công nghệ kỹ thuật xây dựng dân dụng và công nghiệp 7510102,15.15,,,
8.0,Đông phương học 7310608,15.75,,,
9.0,Dược học 7720201,21.0,,,
10.0,Kế toán 7340301,15.3,,,
11.0,Kinh tế 7310101,16.25,,,
12.0,Logistics và Quản lý chuỗi cung ứng 7510605,15.15,,,
13.0,Luật kinh tế 7380107,15.45,,,
14.0,Marketing (dạy bằng tiếng Anh) 7340115,15.1,,,
15.0,Ngành Kinh doanh quốc tế 7340120,18.0,,,
16.0,Ngôn ngữ Anh 7220201,15.25,,,
17.0,Ngôn ngữ Trung Quốc 7220204,15.0,,,
18.0,Quản trị doanh nghiệp 7340101,15.1,,,
19.0,Quản trị dịch vụ du lịch và lữ hành 7810103,15.0,,,
20.0,Quản trị và phân tích dữ liệu 7480107 (trước 2023),15.2,,,
21.0,Tài chính – Ngân hàng 7340201,15.15,,,
22.0,Thương mại điện tử 7340122,15.1,,,
23.0,Truyền thông đa phương tiện 7320104,15.75,,,
