STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ kỹ thuật xây dựng C510103,15.0,,,
2.0,Công nghệ thực phẩm 7540101,15.0,,,
3.0,Công nghệ kỹ thuật ô tô 7510205,15.0,,,
4.0,Công nghệ thông tin 7480201,15.0,,,
5.0,Công nghệ kỹ thuật điều khiển và tự động hóa 7510303,15.0,,,
6.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.0,,,
7.0,Đông phương học 7310608,15.0,,,
8.0,Dược học 7720201,21.0,,,
9.0,Kế toán 7340301,15.0,,,
10.0,Kinh tế 7310101,15.0,,,
11.0,Kỹ thuật cơ khí 7520103,15.0,,,
12.0,Luật kinh tế 7380107,15.0,,,
13.0,Ngôn ngữ Anh 7220201,15.0,,,
14.0,Ngôn ngữ Trung Quốc 7220204,15.0,,,
15.0,Quản trị doanh nghiệp 7340101,15.0,,,
16.0,Quản trị dịch vụ du lịch và lữ hành 7810103,15.0,,,
17.0,Tài chính – Ngân hàng 7340201,15.0,,,
