STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,15.0,,,
2.0,Giáo dục Mầm non 7140201,19.0,,,
3.0,Giáo dục Tiểu học 7140202,24.0,,,
4.0,Kế toán 7340301,15.0,,,
5.0,Ngôn ngữ Anh 7220201,15.0,,,
6.0,Ngôn ngữ Trung Quốc 7220204,15.0,,,
7.0,Nông nghiệp 7620101,15.0,,,
8.0,Quản lý tài nguyên và môi trường 7850101,15.0,,,
9.0,Quản trị dịch vụ du lịch và lữ hành 7810103,15.0,,,
10.0,Quản trị doanh nghiệp 7340101,15.0,,,
11.0,Sư phạm Toán học 7140209,19.0,,,
12.0,Sư phạm khoa học tự nhiên 7140247,19.0,,,
13.0,Sư phạm Ngữ văn 7140217,23.0,,,
