STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo vệ thực vật 7620112,18.0,,,
2.0,Chăn nuôi 7620105,18.0,,,
3.0,Công nghệ sinh học 7420201,18.0,,,
4.0,Công nghệ kỹ thuật điều khiển và tự động hóa 7510303,18.0,,,
5.0,Công nghệ thông tin 7480201,18.0,,,
6.0,Công nghệ thực phẩm 7540101,18.0,,,
7.0,Công nghệ kỹ thuật cơ điện tử 7510203,18.0,,,
8.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,18.0,,,
9.0,Công nghệ kỹ thuật xây dựng 7510103,18.0,,,
10.0,ĐH Nuôi trồng thủy sản 7620301,18.0,,,
11.0,Du lịch 7810101,18.0,,,
12.0,Giáo dục Mầm non 51140201,18.0,,,
13.0,Giáo dục Tiểu học 7140202,29.95,,,
14.0,Kế toán 7340301,23.31,,,
15.0,Kinh tế 7310101,18.0,,,
16.0,Ngành Luật 7380101,23.4,,,
17.0,Quản trị doanh nghiệp 7340101,24.13,,,
18.0,Sư phạm Toán học 7140209,27.2,,,
19.0,Sư phạm Ngữ văn 7140217,25.48,,,
20.0,Tài chính – Ngân hàng 7340201,21.85,,,
21.0,Văn hoá học 7229040,18.0,,,
