STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo vệ thực vật 7620112,15.0,,,
2.0,Chăn nuôi 7620105,15.0,,,
3.0,Công nghệ kỹ thuật cơ điện tử 7510203,15.0,,,
4.0,Công nghệ kỹ thuật xây dựng 7510103,15.0,,,
5.0,Công nghệ thông tin 7480201,15.0,,,
6.0,Công nghệ kỹ thuật điều khiển và tự động hóa 7510303,15.0,,,
7.0,Công nghệ sinh học 7420201,15.0,,,
8.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,15.0,,,
9.0,Công nghệ thực phẩm 7540101,15.0,,,
10.0,ĐH Nuôi trồng thủy sản 7620301,15.0,,,
11.0,Du lịch 7810101,15.0,,,
12.0,Kế toán 7340301,17.5,,,
13.0,Kinh tế 7310101,15.0,,,
14.0,Ngành Luật 7380101,16.5,,,
15.0,Quản trị doanh nghiệp 7340101,16.0,,,
16.0,Tài chính – Ngân hàng 7340201,15.0,,,
17.0,Văn hoá học 7229040,15.0,,,
