STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ chế tạo máy 7510202,13.5,,,
2.0,"Công nghệ kỹ thuật điện, điện tử 7510301",14.0,,,
3.0,Công nghệ kỹ thuật điều khiển và tự động hóa 7510303,14.0,,,
4.0,Công nghệ thông tin 7480201,14.0,,,
5.0,Công nghệ kỹ thuật máy tính 7480108,13.5,,,
6.0,Công nghệ kỹ thuật ô tô 7510205,14.0,,,
7.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,13.5,,,
8.0,Điện tử - viễn thông 7510302,14.0,,,
9.0,Kế toán 7340301,13.5,,,
10.0,Quản trị nhân lực 7340404,13.5,,,
11.0,Quản trị doanh nghiệp 7340101,13.5,,,
12.0,Sư phạm công nghệ 7140246,17.0,,,
