STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Chăn nuôi 7620105,15.0,,,
2.0,Công nghệ rau hoa quả và cảnh quan 7620113,15.0,,,
3.0,Công nghệ sau thu hoạch 7540104,15.0,,,
4.0,Công nghệ thực phẩm 7540101,15.0,,,
5.0,Công nghệ sinh học 7420201,15.0,,,
6.0,ĐH Nuôi trồng thủy sản 7620301,15.0,,,
7.0,Khoa học cây trồng 7620110,15.0,,,
8.0,Khoa học môi trường 7440301,15.0,,,
9.0,Khoa học và quản lý môi trường 7904429,15.0,,,
10.0,Khuyến nông 7620102,15.0,,,
11.0,Kinh tế tài nguyên thiên nhiên 7850102,15.0,,,
12.0,Kinh tế nông nghiệp 7620115,15.0,,,
13.0,Lâm học 7620201,15.0,,,
14.0,Phát triển nông thôn 7620116,15.0,,,
15.0,Quản lý đất đai 7850103,15.0,,,
16.0,Quản lý tài nguyên và môi trường 7850101,15.0,,,
17.0,Quản lý tài nguyên rừng 7620211,15.0,,,
18.0,Thú y 7640101,15.0,,,
