STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Báo chí 7320101,15.0,,,
2.0,Công nghệ Sinh học (Chương trình Chất lượng cao) 7420201_CLC,19.0,,,
3.0,Công tác xã hội 7760101,15.0,,,
4.0,Công nghệ kỹ thuật hoá học 7510401,15.0,,,
5.0,Dịch vụ pháp luật 7380101_CLC,16.0,,,
6.0,Du lịch 7810101,15.0,,,
7.0,Hàn Quốc học 7310614,16.0,,,
8.0,Hóa học 7440112,16.0,,,
9.0,Khoa học quản lý 7340401,15.0,,,
10.0,Lịch sử 7229010,16.0,,,
11.0,Ngành Luật 7380101,15.0,,,
12.0,Ngôn ngữ Anh 7220201,15.0,,,
13.0,Ngôn ngữ Anh (Song ngữ Anh - Trung) 7220201_AT,15.0,,,
14.0,Ngôn ngữ Anh (Song ngữ Anh - Hàn) 7220201_AH,15.0,,,
15.0,Quản trị dịch vụ du lịch và lữ hành 7810103,15.0,,,
16.0,Quản trị dịch vụ du lịch và lữ hành (Chất lượng cao) 7810103_CLC,16.0,,,
17.0,Quản lý thể dục thể thao 7810301,15.0,,,
18.0,Quản lý tài nguyên và môi trường 7850101,15.0,,,
19.0,Thông tin - thư viện 7320201,15.0,,,
20.0,Toán tin 7460117,16.0,,,
21.0,Toán học 7460101,16.0,,,
22.0,Trung Quốc học 7310612,16.5,,,
23.0,Văn học 7229030,16.0,,,
24.0,Vật lý học 7440102,16.0,,,
25.0,"Vật lý, chương trình đào tạo định hướng giảng dạy Vật lý - Hóa học bằng tiếng Anh 7440102_VH",16.0,,,
