STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Báo chí 7320101,15.0,,,
2.0,Công nghệ Sinh học (Chương trình Chất lượng cao) 7420201_CLC,20.0,,,
3.0,Công nghệ kỹ thuật hoá học 7510401,15.0,,,
4.0,Công tác xã hội 7760101,15.0,,,
5.0,Công nghệ sinh học 7420201,18.0,,,
6.0,Dịch vụ pháp luật 7380101_CLC,16.5,,,
7.0,Du lịch 7810101,15.0,,,
8.0,Du lịch 7310630,15.0,,,
9.0,Hàn Quốc học 7310614,16.5,,,
10.0,Hoá dược 7720203,15.0,,,
11.0,Khoa học môi trường 7440301,15.0,,,
12.0,Khoa học quản lý 7340401,15.0,,,
13.0,Lịch sử 7229010,15.0,,,
14.0,Ngành Luật 7380101,15.0,,,
15.0,Ngôn ngữ Anh 7220201,15.0,,,
16.0,Quản trị dịch vụ du lịch và lữ hành (Chất lượng cao) 7810103_CLC,16.5,,,
17.0,Quản trị dịch vụ du lịch và lữ hành 7810103,15.0,,,
18.0,Quản lý tài nguyên và môi trường 7850101,15.0,,,
19.0,Thông tin - thư viện 7320201,15.0,,,
20.0,Toán tin 7460117,15.0,,,
21.0,Trung Quốc học 7310612,16.5,,,
22.0,Văn học 7229030,15.0,,,
23.0,Vật lý học 7440102,15.0,,,
