STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bất động sản 7340116,17.0,,,
2.0,Công nghệ thực phẩm 7540101,17.0,,,
3.0,Công nghệ kỹ thuật ô tô 7510205,21.0,,,
4.0,Công nghệ thông tin 7480201,17.0,,,
5.0,Công nghệ kỹ thuật hoá học 7510401,20.0,,,
6.0,Dược học 7720201,21.0,,,
7.0,Kế toán 7340301,18.0,,,
8.0,Kiến trúc 7580101,17.0,,,
9.0,Kỹ thuật xây dựng 7580201,17.0,,,
10.0,Kỹ thuật hình ảnh y học 7720602,19.0,,,
11.0,Kỹ thuật xét nghiệm y học 7720601,19.0,,,
12.0,Kỹ thuật cơ khí động lực 7520116,17.0,,,
13.0,Luật kinh tế 7380107,17.0,,,
14.0,Marketing (dạy bằng tiếng Anh) 7340115,22.0,,,
15.0,Ngành Kỹ thuật môi trường 7520320,20.0,,,
16.0,Ngành Luật 7380101,17.0,,,
17.0,Ngành Kinh doanh quốc tế 7340120,17.0,,,
18.0,Ngôn ngữ Anh 7220201,18.0,,,
19.0,Quản trị dịch vụ du lịch và lữ hành 7810103,18.0,,,
20.0,Quản lý đất đai 7850103,17.0,,,
21.0,Quản trị doanh nghiệp 7340101,21.0,,,
22.0,Quản trị nhà hàng và dịch vụ ăn uống 7810202,22.0,,,
23.0,Quan hệ công chúng 7320108,20.0,,,
24.0,Quản trị khách sạn 7810201,23.0,,,
25.0,Quản lý tài nguyên và môi trường 7850101,17.0,,,
26.0,Quản lý bệnh viện 7720802,17.0,,,
27.0,Tài chính – Ngân hàng 7340201,19.0,,,
28.0,Y khoa 7720101,22.0,,,
