STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Chuyên ngành quản lý hạ tầng đất đai đô thi 7580302_03,19.4,,,
2.0,Chuyên ngành kỹ thuật oto 7520103_04,23.37,,,
3.0,Công nghệ thông tin 7480201,24.25,,,
4.0,Công nghệ kỹ thuật vật liệu xây dựng 7510105,17.0,,,
5.0,Khoa học máy tính 7480101,23.91,,,
6.0,Khoa học máy tính (LK với ĐH Frostburg ) 7480101_QT,22.9,,,
7.0,Kiến trúc cảnh quan 7580102,19.23,,,
8.0,Kiến trúc 7580101,21.05,,,
9.0,Kiến trúc nội thất (Hệ 5 năm; tốt nghiệp cấp bằng kiến trúc sư) 7580103,21.53,,,
10.0,Kiến trúc (chuyên ngành: Kiến trúc công nghệ) 7580101_02,20.64,,,
11.0,Kinh tế xây dựng 7580301,22.4,,,
12.0,Kỹ thuật cơ khí (chuyên ngành: Máy xây dựng) 7520103_01,17.0,,,
13.0,Kỹ thuật Cấp thoát nước (chuyên ngành: Cấp thoát nước - Môi trường nước) 7580213_01,17.0,,,
14.0,Kỹ thuật cơ khí (chuyên ngành: Kỹ thuật cơ điện) 7520103_03,22.4,,,
15.0,Kỹ thuật vật liệu 7520309,17.0,,,
16.0,Kỹ thuật công trình xây dựng (chuyên ngành: Hệ thống kỹ thuật trong công trình) 7580201_02,20.0,,,
17.0,Kỹ thuật xây dựng 7580201,17.0,,,
18.0,Kỹ thuật điện 7520201,19.2,,,
19.0,Kỹ thuật công trình xây dựng (chuyên ngành: Xây dựng Dân dụng và Công nghiệp) 7580201_01,20.0,,,
20.0,Kỹ thuật cơ khí 7520103,22.65,,,
21.0,Kỹ thuật xây dựng công trình Giao thông (Chuyên ngành: Xây dựng Cầu đường) 7580205_01,18.0,,,
22.0,Kỹ thuật xây dựng (chuyên ngành: Tin học xây dựng) 7580201_03,21.2,,,
23.0,Logistics và Quản lý chuỗi cung ứng 7510605,24.49,,,
24.0,Ngành kỹ thuật xây dựng liên kết với Mississippi 7580201_QT,17.0,,,
25.0,Ngành Kỹ thuật môi trường 7520320,17.0,,,
26.0,Quản lý xây dựng (chuyên ngành: Kinh tế và Quản lý đô thị). 7580302_01,21.25,,,
27.0,Quản lý xây dựng (chuyên ngành:Kinh tế và Quản lý Bất động sản). 7580302_02,21.5,,,
28.0,Quy hoạch vùng và đô thị 7580105,17.0,,,
