STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,An toàn thông tin 7480202,27.0,,,
2.0,Công nghệ sinh học 7420201,22.05,,,
3.0,Công nghệ thực phẩm 7540101,27.0,,,
4.0,Công nghệ kỹ thuật cơ điện tử 7510203,24.5,,,
5.0,Công nghệ thông tin 7480201,25.75,,,
6.0,ĐH Toán ứng dụng 7460112,22.45,,,
7.0,Hóa học 7440112,23.1,,,
8.0,Khoa học vật liệu 7440122,23.0,,,
9.0,Khoa học môi trường 7440301,22.75,,,
10.0,Khoa học Dữ liệu 7480109,27.3,,,
11.0,Kỹ thuật xét nghiệm y học 7720601,22.44,,,
12.0,Kỹ thuật ô tô 7520130,24.05,,,
13.0,Kỹ thuật không gian 7520121,21.6,,,
14.0,Kỹ thuật điện 7520201,21.05,,,
15.0,Vật lý kỹ thuật 7520401,23.05,,,
