STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,16.0,,,
2.0,Đông phương học 7310608,15.5,,,
3.0,Kế toán 7340301,15.0,,,
4.0,Kỹ thuật phần mềm 7480103,15.0,,,
5.0,Logistics và Quản lý chuỗi cung ứng 7510605,15.0,,,
6.0,Mạng máy tính và truyền thông dữ liệu 7480102,15.0,,,
7.0,Marketing (dạy bằng tiếng Anh) 7340115,16.0,,,
8.0,Ngành Kinh doanh quốc tế 7340120,15.0,,,
9.0,Ngành Luật 7380101,15.0,,,
10.0,Ngôn ngữ Anh 7220201,15.5,,,
11.0,Quản trị khách sạn 7810201,15.0,,,
12.0,Quản trị doanh nghiệp 7340101,16.5,,,
13.0,Tài chính – Ngân hàng 7340201,15.0,,,
14.0,Truyền thông đa phương tiện 7320104,15.0,,,
