STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ đa phương tiện 7329001,15.0,,,
2.0,Công nghệ thông tin 7480201,15.0,,,
3.0,Điều dưỡng 7720301,19.0,,,
4.0,Dược học 7720201,21.0,,,
5.0,Kế toán 7340301,15.0,,,
6.0,Kinh tế 7310101,15.0,,,
7.0,Logistics và Quản lý chuỗi cung ứng 7510605,15.0,,,
8.0,Luật kinh tế 7380107,15.0,,,
9.0,Ngôn ngữ Anh 7220201,15.0,,,
10.0,Quản trị khách sạn 7810201,15.0,,,
11.0,Quan hệ công chúng 7320108,15.0,,,
12.0,Quản trị doanh nghiệp 7340101,15.0,,,
13.0,Quản trị dịch vụ du lịch và lữ hành 7810103,15.0,,,
14.0,Tài chính – Ngân hàng 7340201,15.0,,,
15.0,Thiết kế thời trang 7210404,15.0,,,
16.0,Thiết kế nội thất 7580108,15.0,,,
17.0,Thiết kế đồ họa 7210403,15.0,,,
18.0,Thương mại điện tử 7340122,15.0,,,
19.0,Y học cổ truyền 7720115,21.0,,,
