STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bất động sản 7340116,15.0,,,
2.0,Công nghệ thông tin 52480201,14.0,,,
3.0,Công nghệ kỹ thuật ô tô 52510205,15.0,,,
4.0,Kế toán 52340301,15.0,,,
5.0,Kỹ thuật phần mềm 52480103,15.0,,,
6.0,Logistics và Quản lý chuỗi cung ứng 7510605,,,,
7.0,Luật kinh tế 52380107,15.0,,,
8.0,Ngành Quản trị kinh doanh 52340101,15.0,,,
9.0,Ngôn ngữ Nga 52220202,15.0,,,
10.0,Ngôn ngữ Anh 52220201,15.0,,,
11.0,Quản trị dịch vụ du lịch và lữ hành 52340103,15.0,,,
12.0,Quản lý nhà nước 52310205,15.0,,,
13.0,Tài chính ngân hàng 52340201,15.0,,,
