STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,An toàn thông tin 7480202,14.0,,,
2.0,Công nghệ kỹ thuật xây dựng dân dụng và công nghiệp 7510102,14.0,,,
3.0,"Công nghệ kỹ thuật điện, điện tử 7510301",14.0,,,
4.0,Công nghệ thực phẩm 7540101,14.0,,,
5.0,Công nghệ sinh học 7420201,14.0,,,
6.0,Công nghệ kỹ thuật Môi trường 7510406,14.0,,,
7.0,Công nghệ kỹ thuật ô tô 7510205,14.0,,,
8.0,Điều dưỡng 7720301,19.0,,,
9.0,Du lịch 7310630,14.0,,,
10.0,Du lịch 7810101,14.0,,,
11.0,Dược học 7720201,21.0,,,
12.0,Hệ thống thông tin 7340405,14.0,,,
13.0,Kế toán 7340301,14.0,,,
14.0,Kiểm toán 7340302,14.0,,,
15.0,Kiến trúc 7580101,14.0,,,
16.0,Kinh doanh thương mại 7340121,14.0,,,
17.0,Kỹ thuật phần mềm 7480103,14.0,,,
18.0,Kỹ thuật xây dựng 7580201,14.0,,,
19.0,Logistics và Quản lý chuỗi cung ứng 7510605,14.0,,,
20.0,Luật kinh tế 7380107,14.0,,,
21.0,Marketing (dạy bằng tiếng Anh) 7340115,14.0,,,
22.0,Ngành Kỹ thuật điều khiển & Tự động hóa 7520216,14.0,,,
23.0,Ngành Luật 7380101,14.0,,,
24.0,Ngôn ngữ Anh 7220201,14.0,,,
25.0,Ngôn ngữ Hàn Quốc 7220210,14.0,,,
26.0,Ngôn ngữ Trung Quốc 7220204,14.0,,,
27.0,Quản trị nhà hàng và dịch vụ ăn uống 7810202,14.0,,,
28.0,Quản trị nhân lực 7340404,14.0,,,
29.0,Quản trị dịch vụ du lịch và lữ hành 7810103,14.0,,,
30.0,Quản trị doanh nghiệp 7340101,14.0,,,
31.0,Quan hệ quốc tế 7310206,14.0,,,
32.0,Quản trị khách sạn 7810201,14.0,,,
33.0,Quản lý tài nguyên và môi trường 7850101,14.0,,,
34.0,Răng- Hàm -Mặt 7720501,22.0,,,
35.0,Tài chính – Ngân hàng 7340201,14.0,,,
36.0,Thiết kế thời trang 7210404,14.0,,,
37.0,Thiết kế đồ họa 7210403,14.0,,,
38.0,Truyền thông đa phương tiện 7320104,14.0,,,
39.0,Văn học 7229030,14.0,,,
40.0,Y khoa 7720101,22.0,,,
