STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Chính trị học 7310201,15.0,,,
2.0,Công nghệ thông tin 7480201,15.0,,,
3.0,Giáo dục Tiểu học 7140202,26.3,,,
4.0,Kế toán 7340301,15.0,,,
5.0,Khoa học cây trồng 7620110,15.0,,,
6.0,Khoa học môi trường 7440301,15.0,,,
7.0,Kinh tế nông nghiệp 7620115,15.0,,,
8.0,Kỹ thuật xây dựng 7580201,15.0,,,
9.0,Ngành Luật 7380101,15.0,,,
10.0,Ngôn ngữ Anh 7220201,15.0,,,
11.0,Ngôn ngữ Trung Quốc 7220204,15.0,,,
12.0,Quản trị dịch vụ du lịch và lữ hành 7810103,15.0,,,
13.0,Quản trị doanh nghiệp 7340101,15.0,,,
14.0,Tài chính – Ngân hàng 7340201,15.0,,,
15.0,Thú y 7640101,15.0,,,
